Region,Season,Housing_type,Window_AC_hours_per_week,Split_AC_hours_per_week,Central_AC_hours_per_week,Radiant_Heater_hours_per_week,Water_Heater_hours_per_week,Regular_Lamps_hours_per_week,Energy_Saving_Lamps_hours_per_week,Refrigerator_hours_per_week,Freezer_hours_per_week,Insulation_Yes_Pct,Cooking_Gas_Pct,Cooking_Elec_Pct
Madinah,Rest_of_Year,Apartment,89.2,90.9,113.2,0.9,6.3,90.4,91.0,168.0,166.0,49.9,92.8,7.0
Qassim,Winter,Villa,4.6,7.2,7.1,36.6,129.0,63.0,68.3,168.0,166.0,54.7,95.8,4.2
Qassim,Winter,Floor in Villa,4.6,7.2,7.1,36.6,129.0,63.0,68.3,168.0,166.0,54.7,97.5,2.5
Qassim,Winter,Traditional House,4.6,7.2,7.1,36.6,129.0,63.0,68.3,168.0,166.0,54.7,99.0,1.0
Qassim,Winter,Floor in Traditional,4.6,7.2,7.1,36.6,129.0,63.0,68.3,168.0,166.0,54.7,100.0,0.0
Qassim,Winter,Apartment,4.6,7.2,7.1,36.6,129.0,63.0,68.3,168.0,166.0,54.7,97.3,2.7
Qassim,Rest_of_Year,Villa,68.0,89.1,122.3,0.9,6.3,67.6,71.0,168.0,167.8,54.7,95.8,4.2
Qassim,Rest_of_Year,Floor in Villa,68.0,89.1,122.3,0.9,6.3,67.6,71.0,168.0,167.8,54.7,97.5,2.5
Qassim,Rest_of_Year,Traditional House,68.0,89.1,122.3,0.9,6.3,67.6,71.0,168.0,167.8,54.7,99.0,1.0
Qassim,Rest_of_Year,Floor in Traditional,68.0,89.1,122.3,0.9,6.3,67.6,71.0,168.0,167.8,54.7,100.0,0.0
Qassim,Rest_of_Year,Apartment,68.0,89.1,122.3,0.9,6.3,67.6,71.0,168.0,167.8,54.7,97.3,2.7
Eastern Region,Winter,Villa,5.1,7.8,11.6,21.0,86.5,53.2,62.2,168.0,166.6,53.3,63.6,36.1
Eastern Region,Winter,Floor in Villa,5.1,7.8,11.6,21.0,86.5,53.2,62.2,168.0,166.6,53.3,56.7,43.3
Eastern Region,Winter,Traditional House,5.1,7.8,11.6,21.0,86.5,53.2,62.2,168.0,166.6,53.3,90.0,10.0
Eastern Region,Winter,Floor in Traditional,5.1,7.8,11.6,21.0,86.5,53.2,62.2,168.0,166.6,53.3,75.6,24.4
Eastern Region,Winter,Apartment,5.1,7.8,11.6,21.0,86.5,53.2,62.2,168.0,166.6,53.3,60.8,38.2
Eastern Region,Rest_of_Year,Villa,62.1,76.5,77.8,1.6,10.8,59.4,65.6,168.0,167.1,53.3,63.6,36.1
Eastern Region,Rest_of_Year,Floor in Villa,62.1,76.5,77.8,1.6,10.8,59.4,65.6,168.0,167.1,53.3,56.7,43.3
Eastern Region,Rest_of_Year,Traditional House,62.1,76.5,77.8,1.6,10.8,59.4,65.6,168.0,167.1,53.3,90.0,10.0
Eastern Region,Rest_of_Year,Floor in Traditional,62.1,76.5,77.8,1.6,10.8,59.4,65.6,168.0,167.1,53.3,75.6,24.4
Eastern Region,Rest_of_Year,Apartment,62.1,76.5,77.8,1.6,10.8,59.4,65.6,168.0,167.1,53.3,60.8,38.2
Aseer,Winter,Villa,25.4,21.1,27.1,31.1,142.3,59.1,71.2,168.0,166.2,29.3,86.8,13.2
Aseer,Winter,Floor in Villa,25.4,21.1,27.1,31.1,142.3,59.1,71.2,168.0,166.2,29.3,99.6,0.4
Aseer,Winter,Traditional House,25.4,21.1,27.1,31.1,142.3,59.1,71.2,168.0,166.2,29.3,99.8,0.1
Aseer,Winter,Floor in Traditional,25.4,21.1,27.1,31.1,142.3,59.1,71.2,168.0,166.2,29.3,99.4,0.6
Aseer,Winter,Apartment,25.4,21.1,27.1,31.1,142.3,59.1,71.2,168.0,166.2,29.3,88.7,11.3
Aseer,Rest_of_Year,Villa,60.0,55.3,67.1,4.0,57.6,64.5,72.9,167.9,167.5,29.3,86.8,13.2
Aseer,Rest_of_Year,Floor in Villa,60.0,55.3,67.1,4.0,57.6,64.5,72.9,167.9,167.5,29.3,99.6,0.4
Aseer,Rest_of_Year,Traditional House,60.0,55.3,67.1,4.0,57.6,64.5,72.9,167.9,167.5,29.3,99.8,0.1
Aseer,Rest_of_Year,Floor in Traditional,60.0,55.3,67.1,4.0,57.6,64.5,72.9,167.9,167.5,29.3,99.4,0.6
Aseer,Rest_of_Year,Apartment,60.0,55.3,67.1,4.0,57.6,64.5,72.9,167.9,167.5,29.3,88.7,11.3
Tabuk,Winter,Villa,2.7,5.1,4.0,28.7,127.9,50.5,48.3,168.0,164.4,41.5,92.3,7.7
Tabuk,Winter,Floor in Villa,2.7,5.1,4.0,28.7,127.9,50.5,48.3,168.0,164.4,41.5,92.7,7.3
Tabuk,Winter,Traditional House,2.7,5.1,4.0,28.7,127.9,50.5,48.3,168.0,164.4,41.5,93.7,6.3
Tabuk,Winter,Floor in Traditional,2.7,5.1,4.0,28.7,127.9,50.5,48.3,168.0,164.4,41.5,100.0,0.0
Tabuk,Winter,Apartment,2.7,5.1,4.0,28.7,127.9,50.5,48.3,168.0,164.4,41.5,89.1,10.8
Tabuk,Rest_of_Year,Villa,50.7,53.5,75.7,1.0,9.6,50.8,52.0,168.0,167.3,41.5,92.3,7.7
Tabuk,Rest_of_Year,Floor in Villa,50.7,53.5,75.7,1.0,9.6,50.8,52.0,168.0,167.3,41.5,92.7,7.3
Tabuk,Rest_of_Year,Traditional House,50.7,53.5,75.7,1.0,9.6,50.8,52.0,168.0,167.3,41.5,93.7,6.3
Tabuk,Rest_of_Year,Floor in Traditional,50.7,53.5,75.7,1.0,9.6,50.8,52.0,168.0,167.3,41.5,100.0,0.0
Tabuk,Rest_of_Year,Apartment,50.7,53.5,75.7,1.0,9.6,50.8,52.0,168.0,167.3,41.5,89.1,10.8
Hail,Winter,Villa,11.8,10.6,10.6,51.9,104.0,69.8,74.5,168.0,166.3,39.5,86.4,13.6
Hail,Winter,Floor in Villa,11.8,10.6,10.6,51.9,104.0,69.8,74.5,168.0,166.3,39.5,89.5,10.5
Hail,Winter,Traditional House,11.8,10.6,10.6,51.9,104.0,69.8,74.5,168.0,166.3,39.5,92.9,6.5
Hail,Winter,Floor in Traditional,11.8,10.6,10.6,51.9,104.0,69.8,74.5,168.0,166.3,39.5,96.7,3.3
Hail,Winter,Apartment,11.8,10.6,10.6,51.9,104.0,69.8,74.5,168.0,166.3,39.5,88.8,11.2
Hail,Rest_of_Year,Villa,75.1,82.1,36.5,0.7,6.9,72.1,78.2,168.0,167.4,39.5,86.4,13.6
Hail,Rest_of_Year,Floor in Villa,75.1,82.1,36.5,0.7,6.9,72.1,78.2,168.0,167.4,39.5,89.5,10.5
Hail,Rest_of_Year,Traditional House,75.1,82.1,36.5,0.7,6.9,72.1,78.2,168.0,167.4,39.5,92.9,6.5
Hail,Rest_of_Year,Floor in Traditional,75.1,82.1,36.5,0.7,6.9,72.1,78.2,168.0,167.4,39.5,96.7,3.3
Hail,Rest_of_Year,Apartment,75.1,82.1,36.5,0.7,6.9,72.1,78.2,168.0,167.4,39.5,88.8,11.2
Northern Borders,Winter,Villa,29.8,48.1,0.0,38.1,143.0,73.2,79.2,168.0,167.4,48.8,95.7,4.3
Northern Borders,Winter,Floor in Villa,29.8,48.1,0.0,38.1,143.0,73.2,79.2,168.0,167.4,48.8,92.8,7.2
Northern Borders,Winter,Traditional House,29.8,48.1,0.0,38.1,143.0,73.2,79.2,168.0,167.4,48.8,100.0,0.0
Northern Borders,Winter,Floor in Traditional,29.8,48.1,0.0,38.1,143.0,73.2,79.2,168.0,167.4,48.8,100.0,0.0
Northern Borders,Winter,Apartment,29.8,48.1,0.0,38.1,143.0,73.2,79.2,168.0,167.4,48.8,86.9,13.1
Northern Borders,Rest_of_Year,Villa,70.7,90.4,0.0,0.8,3.0,67.7,84.5,168.0,168.0,48.8,95.7,4.3
Northern Borders,Rest_of_Year,Floor in Villa,70.7,90.4,0.0,0.8,3.0,67.7,84.5,168.0,168.0,48.8,92.8,7.2
Northern Borders,Rest_of_Year,Traditional House,70.7,90.4,0.0,0.8,3.0,67.7,84.5,168.0,168.0,48.8,100.0,0.0
Northern Borders,Rest_of_Year,Floor in Traditional,70.7,90.4,0.0,0.8,3.0,67.7,84.5,168.0,168.0,48.8,100.0,0.0
Northern Borders,Rest_of_Year,Apartment,70.7,90.4,0.0,0.8,3.0,67.7,84.5,168.0,168.0,48.8,86.9,13.1
Jazan,Winter,Villa,84.0,56.2,60.1,32.4,76.3,93.1,90.2,168.0,166.5,37.6,95.2,4.8
Jazan,Winter,Floor in Villa,84.0,56.2,60.1,32.4,76.3,93.1,90.2,168.0,166.5,37.6,100.0,0.0
Jazan,Winter,Traditional House,84.0,56.2,60.1,32.4,76.3,93.1,90.2,168.0,166.5,37.6,99.4,0.6
Jazan,Winter,Floor in Traditional,84.0,56.2,60.1,32.4,76.3,93.1,90.2,168.0,166.5,37.6,100.0,0.0
Jazan,Winter,Apartment,84.0,56.2,60.1,32.4,76.3,93.1,90.2,168.0,166.5,37.6,98.2,1.8
Jazan,Rest_of_Year,Villa,116.8,81.0,87.5,0.5,8.8,94.9,91.3,168.0,167.8,37.6,95.2,4.8
Jazan,Rest_of_Year,Floor in Villa,116.8,81.0,87.5,0.5,8.8,94.9,91.3,168.0,167.8,37.6,100.0,0.0
Jazan,Rest_of_Year,Traditional House,116.8,81.0,87.5,0.5,8.8,94.9,91.3,168.0,167.8,37.6,99.4,0.6
Jazan,Rest_of_Year,Floor in Traditional,116.8,81.0,87.5,0.5,8.8,94.9,91.3,168.0,167.8,37.6,100.0,0.0
Jazan,Rest_of_Year,Apartment,116.8,81.0,87.5,0.5,8.8,94.9,91.3,168.0,167.8,37.6,98.2,1.8
Najran,Winter,Villa,26.9,38.4,21.0,29.1,98.2,103.1,73.8,168.0,167.9,58.9,95.3,4.7
Najran,Winter,Floor in Villa,26.9,38.4,21.0,29.1,98.2,103.1,73.8,168.0,167.9,58.9,88.5,11.5
Najran,Winter,Traditional House,26.9,38.4,21.0,29.1,98.2,103.1,73.8,168.0,167.9,58.9,100.0,0.0
Najran,Winter,Floor in Traditional,26.9,38.4,21.0,29.1,98.2,103.1,73.8,168.0,167.9,58.9,100.0,0.0
Najran,Winter,Apartment,26.9,38.4,21.0,29.1,98.2,103.1,73.8,168.0,167.9,58.9,98.2,1.8
Najran,Rest_of_Year,Villa,82.9,86.7,49.0,4.8,27.2,101.3,75.0,168.0,168.0,58.9,95.3,4.7
Najran,Rest_of_Year,Floor in Villa,82.9,86.7,49.0,4.8,27.2,101.3,75.0,168.0,168.0,58.9,88.5,11.5
Najran,Rest_of_Year,Traditional House,82.9,86.7,49.0,4.8,27.2,101.3,75.0,168.0,168.0,58.9,100.0,0.0
Najran,Rest_of_Year,Floor in Traditional,82.9,86.7,49.0,4.8,27.2,101.3,75.0,168.0,168.0,58.9,100.0,0.0
Najran,Rest_of_Year,Apartment,82.9,86.7,49.0,4.8,27.2,101.3,75.0,168.0,168.0,58.9,98.2,1.8
Al-Baha,Winter,Villa,18.0,25.4,21.8,39.3,115.2,64.2,65.6,168.0,165.9,40.1,90.7,9.3
Al-Baha,Winter,Floor in Villa,18.0,25.4,21.8,39.3,115.2,64.2,65.6,168.0,165.9,40.1,96.2,3.8
Al-Baha,Winter,Traditional House,18.0,25.4,21.8,39.3,115.2,64.2,65.6,168.0,165.9,40.1,95.0,3.3
Al-Baha,Winter,Floor in Traditional,18.0,25.4,21.8,39.3,115.2,64.2,65.6,168.0,165.9,40.1,100.0,0.0
Al-Baha,Winter,Apartment,18.0,25.4,21.8,39.3,115.2,64.2,65.6,168.0,165.9,40.1,84.5,15.4
Al-Baha,Rest_of_Year,Villa,53.2,63.0,94.3,4.7,72.6,69.4,70.3,168.0,167.8,40.1,90.7,9.3
Al-Baha,Rest_of_Year,Floor in Villa,53.2,63.0,94.3,4.7,72.6,69.4,70.3,168.0,167.8,40.1,96.2,3.8
Al-Baha,Rest_of_Year,Traditional House,53.2,63.0,94.3,4.7,72.6,69.4,70.3,168.0,167.8,40.1,95.0,3.3
Al-Baha,Rest_of_Year,Floor in Traditional,53.2,63.0,94.3,4.7,72.6,69.4,70.3,168.0,167.8,40.1,100.0,0.0
Al-Baha,Rest_of_Year,Apartment,53.2,63.0,94.3,4.7,72.6,69.4,70.3,168.0,167.8,40.1,84.5,15.4
Al-Jouf,Winter,Villa,12.6,22.4,54.4,45.2,111.5,56.1,57.1,168.0,164.9,35.7,95.8,4.2
Al-Jouf,Winter,Floor in Villa,12.6,22.4,54.4,45.2,111.5,56.1,57.1,168.0,164.9,35.7,95.2,4.8
Al-Jouf,Winter,Traditional House,12.6,22.4,54.4,45.2,111.5,56.1,57.1,168.0,164.9,35.7,90.9,9.1
Al-Jouf,Winter,Floor in Traditional,12.6,22.4,54.4,45.2,111.5,56.1,57.1,168.0,164.9,35.7,95.6,4.4
Al-Jouf,Winter,Apartment,12.6,22.4,54.4,45.2,111.5,56.1,57.1,168.0,164.9,35.7,95.6,4.4
Al-Jouf,Rest_of_Year,Villa,57.3,64.1,61.8,4.7,13.8,58.3,56.2,168.0,167.8,35.7,95.8,4.2
Al-Jouf,Rest_of_Year,Floor in Villa,57.3,64.1,61.8,4.7,13.8,58.3,56.2,168.0,167.8,35.7,95.2,4.8
Al-Jouf,Rest_of_Year,Traditional House,57.3,64.1,61.8,4.7,13.8,58.3,56.2,168.0,167.8,35.7,90.9,9.1
Al-Jouf,Rest_of_Year,Floor in Traditional,57.3,64.1,61.8,4.7,13.8,58.3,56.2,168.0,167.8,35.7,95.6,4.4
Al-Jouf,Rest_of_Year,Apartment,57.3,64.1,61.8,4.7,13.8,58.3,56.2,168.0,167.8,35.7,95.6,4.4
